,track_id,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genre_top,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title
0,135,256000,1,,2008-11-26 01:43:26,2008-11-26 00:00:00,837,0,Rock,"[45, 58]","[58, 12, 45]",,2484,en,Attribution-NonCommercial-ShareAlike 3.0 International,1832,,0,,[],Father's Day
1,136,256000,1,,2008-11-26 01:43:35,2008-11-26 00:00:00,509,0,Rock,"[45, 58]","[58, 12, 45]",,1948,en,Attribution-NonCommercial-ShareAlike 3.0 International,1498,,0,,[],Peel Back The Mountain Sky
2,151,192000,0,,2008-11-26 01:44:55,,192,0,Rock,[25],"[25, 12]",,701,en,Attribution-NonCommercial-ShareAlike 3.0 International,148,,4,,[],Untitled 04
3,152,192000,0,,2008-11-26 01:44:58,,193,0,Rock,[25],"[25, 12]",,637,en,Attribution-NonCommercial-ShareAlike 3.0 International,98,,11,,[],Untitled 11
4,153,256000,0,Arc and Sender,2008-11-26 01:45:00,2008-11-26 00:00:00,405,5,Rock,[26],"[26, 12]",,354,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,424,,2,,[],Hundred-Year Flood
5,154,256000,0,Arc and Sender,2008-11-26 01:45:04,2008-11-26 00:00:00,319,1,Rock,[26],"[26, 12]",,242,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,205,,4,,[],Squares And Circles
6,155,192000,0,,2008-11-26 01:45:10,2008-11-26 00:00:00,756,1,Rock,[26],"[26, 12]",,268,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,197,,0,,[],Maps of the Stars Homes
7,169,192000,0,James Squeaky,2008-11-26 01:46:02,2006-01-01 00:00:00,144,1,Rock,[25],"[25, 12]",,815,en,Attribution-NonCommercial-ShareAlike 3.0 International,270,,1,,[],Boss of Goth
8,170,192000,0,,2008-11-26 01:46:05,2006-10-07 00:00:00,181,0,Rock,[25],"[25, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,122,,2,,[],Industry Standard Massacre
9,171,320000,0,,2008-11-26 01:46:07,2008-11-26 00:00:00,80,0,Rock,[25],"[25, 12]",<p>Unreleased</p>,582,en,Attribution-NonCommercial-ShareAlike 3.0 International,242,,2,,[],Marching as Technitions
10,172,192000,0,James Squeaky,2008-11-26 01:46:08,2007-06-01 00:00:00,206,0,Rock,[25],"[25, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,90,,3,,[],I Can't Stand You Up-right
